157,Kurnool Bellary Chowrasta,K335,Kurnool,K845,Kurnool Bellary Chowrasta,K335,IB,09.10.2020,IDIB000K335,09.10.2020,"MAIN ROAD, RAJEEV NAGAR, BELLARY CHOWRASTHA KURNOOL 518003",08518258220,kurnool.bellarychowrasta@indianbank ,Hyderabad,Amravati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Amravathi Road (Guntur),A160,Hyderabad Amravathi Road,A591,Amravathi Road (Guntur),A160,IB,21.09.2020,IDIB000A160,21.09.2020,"11-630, 2nd Line,(West)  Annapurna Nagar      Amaravathi Road, Gorantla    GUNTUR 522034",0863 2210050,amaravathi@indianbank.co.in,Hyderabad,Amravati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Mangalagiri,M243,Mangalagiri,M604,Mangalagiri,M604,eAB,19.10.2020,IDIB000M604,19.10.2020,"GOUTHAM BUDDHA ROAD, D. NO.1-448,GOUTHAM BUDDHA ROAD,MANGALAGIRI GUNTUR-522503",08645234249,MANGALAGIRI.M604@indianbank.co.in,Hyderabad,Amravati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Ongole,O002,Ongole,O507,Ongole,O002,IB,10.11.2020,IDIB000O002,10.11.2020,"DOOR NO.24-034-100, RAMAKURIVARI STREET, SANTHAPETA, ONGOLE-523001 ",08592 281658,O002@indianbank.co.in ,Hyderabad,Amravati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Padmavati Nagar,P267,Nandyal,N534,Padmavati Nagar,P267,IB,07.10.2020,IDIB000P267,07.10.2020,"PLOT NO : 402, SY NO : 734 & 709,PYKI, NEAR SURAJ GRAND HOTEL, PADMAVATI NAGAR MAIN ROAD, NANDYAL, KURNOOL DISTRICT 518501",08514242969,PADMAVATI.NAGAR@INDIANBANK.CO.IN,Hyderabad,Amravati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Brodipet,B030,Guntur,G651,Brodipet,B030,IB,10.11.2020,IDIB000B030,10.11.2020,"P.B.No.2255-37-57, IV Line, Brodipet , GUNTUR 522002",0863 2256311,brodipet@indianbank.co.in,Hyderabad,Amravati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Habsiguda,H047,Habsiguda,H503,Habsiguda,H503,eAB,28.09.2020,IDIB000H503,28.09.2020,"DOOR NO 4106/C STREET NO 8 HABSIGUDA NEAR MATHURA BAR HABSIGUDA HYDERABAD, TELANGANA 500007",04027154154,HABSIGUDA.HYDERABAD@indianbank.co.in,Hyderabad,HYDERABAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Himayat Nagar,H008,Himayat Nagar,H571,Himayat Nagar,H008,IB,16.12.2020,IDIB000H008,16.12.2020,"P B No 1010, 3-6-150,    HIMAYATNAGAR  HYDERABAD 500029",040 23222203,himayatnagar@indianbank.co.in,Hyderabad,HYDERABAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Jubilee Hills,H025,Jubilee Hills,J626,Jubilee Hills,H025,IB,02.12.2020,IDIB000H025,02.12.2020,"G-2, 36 PINNACLE, 235/A, ROAD NO: 36, JUBILEE HILLS, HYDERABAD 500033",040-23540849,jubileehills@indianbank.co.in,Hyderabad,HYDERABAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Miyapur,M241,Miyapur,M718,Miyapur,M241,IB,28.09.2020,IDIB000M241,28.09.2020,"Plot No.5&6, Door No.2-60/10, Sri Rangapuram Colony, Bollaram Road ,MIYAPUR, HYDERABAD,RANGA REDDY- 500049",040-43463124,miyapur@indianbank.co.in,Hyderabad,HYDERABAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Miryalaguda,M305,Miryalaguda,M708,Miryalaguda,M305,IB,08.02.2021,IDIB000M305,08.02.2021,"H NO 19-433, SAGAR ROAD, BEHIND KARACHI BAKERY, REDDY COLONY, MIRYALAGUDA, NALGONDA DISTRICT 508207",08689242200,miryalaguda@indianbank.co,Hyderabad,KARIM NAGAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Siricilla,S289,Siricilla,S720,Siricilla,S289,IB,08.02.2021,IDIB000S289,08.02.2021,"PLOT NO 19.20&21,VENKAT RAO NAGAR, NEAR NEW RTC BUS STAND, SIRCILLA 505301",08367067111,sircilla@indianbank.co.in,Hyderabad,KARIM NAGAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Gudivada,G017,Gudivada,G633,Gudivada,G017,IB,12.10.2020,IDIB000G017,12.10.2020,P.B.NO.12 VIJAYAWADA ROAD SATYANARAYANA PURAM    GUDIVADA   KRISHNA 521301,08674244259,gudivada@indianbank.co.in,Hyderabad,Vijayawada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Juvvalapalem Road,J049,Bhimavaram,B786,Juvvalapalem Road,J049,IB,25.01.2021,IDIB000J049,25.01.2021,D.No.1-1-1 Adarsh Nagar     Juvvalapalem Road     Near Ramalayam     BHIMAVARAM   West Godavari District 534202,08816 223363,juvvalapalemroad@indianbank.co.in,Hyderabad,Vijayawada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Gajuwaka,G065,Gajuwaka,G516,Gajuwaka,G065,IB,03.11.2020,IDIB000G065,03.11.2020,2-1-16 V V KRISHNA PLAZA     NH-5 OPP. BHPV  RAMNAGAR  MINDI ROAD     VISAKHAPATNAM 530012,0891 2700200,gajuwaka@indianbank.co.in,Hyderabad,Visakhapatnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,MVP Colony,M308,MVP Colony,M783,MVP Colony,M783,eAB,23.11.2020,IDIB000M783,23.11.2020,"M V P COLONY, PLOT NO 11,SECTOR 3,MIG-I,M V P COLONY, VISAKHAPATNAM 530017",08912520222,MVPCOLONY.VISHAKHAPATNAM@indianbank.co.in,Hyderabad,Visakhapatnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Norampudi Road,M290,Rajamundry,R525,Morampudi Road,M290,IB,30.03.2021,IDIB000M290,30.03.2021,85\6\15 ROUTHU PLAZA VL PURAM MORAMPUDI ROAD EAST GODAVARI 533103,088 32477222,morampudi@indianbank.co.in,Hyderabad,Visakhapatnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Habra,H035,Habra,H502,Habra,H502,eAB,07.12.2020,IDIB000H502,07.12.2020,"HABRA, STATION ROAD, PO HABRA, OLD UBI LANE,HABRA, NORTH 24 PARGANAS, District, WEST BENGAL -743263",08918974758,HABRA.H502@indianbank.co.in,Kolkata I,Barasat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Rajarhat,R066,Rajarhat Gopalapur,R529,Rajarhat,R066,IB,18.03.2021,IDIB000R066,18.03.2021,"ATGHARA, NEAR CHECK POST, RAJARHAT ROAD, P.O. RAJARHAT, GOPALPUR PS BAGUIATI, NORTH 24 PARGANAS, KOLKATTA 700136",033-25196571,rajarhat@indianbank.co.in,Kolkata I,Barasat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Basirhat,B080,Basirhat,B687,Basirhat,B080,IB,22.03.2021,IDIB000B080,22.03.2021,"Itinda Road  Beltala, Basirhat Post     NORTH 24-PARGANAS     743411",03217-266100,basirhat@indianbank.co.in,Kolkata I,Barasat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Alipore Road,A011,Alipore ,A571,Alipore ,A571,eAB,31.10.2020,IDIB000A571,31.10.2020,"1/A,RONALDSHAY ROAD,ALIPUR,CALCUTTA, 1,RONALDSHAY ROAD,ALIPUR,KOLKATA, WEST BENGAL - 700027",03324398672,alipore@indianbank.co.in,Kolkata I,Kolkata 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Port Blair,P117,Port Blair,P670,Port Blair,P117,IB,25.01.2021,IDIB000P117,25.01.2021,"1st FLOOR, GANDHI BHAVAN, POST BOX No. 304, PORT BLAIR, PHOENIX BAY, SOUTH ANDAMAN 744101",03192 244450,portblair@indianbank.co.in,Kolkata I,Kolkata 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Chandrakona Road,,Durlavganj,,Durlavganj,D692,,,IDIB000D692,01.09.2021,"DURLLAVGUNJ CHANDRAKONA ROAD,SATBANKURA,PASCHIM MEDINIPUR,WEST BENGAL-721253 ",8170043880,D692@indianbank.co.in,Kolkata I,Midnapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Haldia,,Haldia,,Haldia,H515,,,IDIB000H515,31.08.2021,"DURGACHAK PO KHANJAN CHAK,PURBA MEDINIPUR ,WEST BENGAL-721602 ",3224274133,H515@indianbank.co.in,Kolkata I,Midnapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Suri,S198,Suri,S804,Suri,S804,eAB,07.02.2021,IDIB000S804,07.02.2021,"DESHBANDHU CHITTARANJAN DAS ROAD,SURI, DESHBANDHU CHITTARANJAN DAS ROAD,SURI 731101",03462255556,DCDASROAD.SURI@indianbank.co.in ,Kolkata II,Asansol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Shillong Main,,Shillong Police Bazar,,Shillong Police Bazar,S660,,,IDIB000S660,30.08.2021,"SLONG HOUSE (IST FLOOR) ,GS ROAD, BARABAZAR ,SHILLONG DIST ,EAST KHASI HILLS ,MEGHALAYA 793002",3642240643,S660@indianbank.co.in,Kolkata II,GUWAHATI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Darjeeling,D004,Darjeeling,D530,Darjeeling,D004,IB,21.12.2020,IDIB000D004,21.12.2020,9 Robertson Road    DARJEELING -734101,0354 2254161,darjeeling@indianbank.co.in,Kolkata II,Siliguri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Lucknow Main,L002,Hazratganj,H561,Hazratganj,H561,eAB,20.11.2020,IDIB000H561,20.11.2020,"OLD BUILDING, ALLAHABAD BANK, ASHOK MARG, ATAL CHOWK, HAZRATGANJ, GPO HAZRATGANJ, LUCKNOW, UTTAR PRADESH - 226001 ",05222286274,lucmain@indianbank.co.in,Lucknow,Lucknow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Vikash Nagar,,Vikas Nagar,,Vikas Nagar,V535,,,IDIB000V535,14.06.2021,"8CP/201,ACCO PLAZA ,PICNIC SPOT ROAD, VIKAS NAGAR,LUCKNOW, UTTAR PRADESH-226020",8859606262,Vikasnagar.Lucknow@indianbank.co.in,Lucknow,Lucknow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Etah,,Etah,,Etah,E511,,,IDIB000E511 ,01.04.2021,"154 GT ROAD ETAH, UTTAR PRADESH- 207001 ",08630233699 ,etah.E511@indianbank.co.in ,Meerut,AGRA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Farrukhabad,,Burhpur,,Burhpur,B893,,,IDIB000B893,01.04.2021,"NEAR ITI CROSSING, FARRUKHABAD,THANDI SADAM,OPP MURARI HOSHPITAL, FARRUKHABAD 209601 ",05692240410 ,burhpur@indianbank.co.in ,Meerut,AGRA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Fatehabad,,Shamshabad,,Shamshabad,S649,,,IDIB000S649,26.07.2021,"WARD NO 15, GOPALPURA,SHAMSHABAD,AGRA, UTTAR PRADESH-283125",,Shamshabad.S649@indianbank.co.in,Meerut,AGRA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Johri Bazar,,Agra City,,Agra City,A525,,,IDIB000A525,26.07.2021,"9/635B, MOTI KATRA ROAD, HINGKIMANDI ,AGRA- 282003",5622260584,AGRAcity@indianbank.co.in,Meerut,AGRA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Gwalior Road,,HCS Agra,,HCS Agra,A526,,,IDIB000A526,26.07.2021,"33/72 Ajmer Road, BaluGanj,Agra,TAJ ROAD,AGRA, UTTARPRADESH-282001
",5622250214,hcs.agra@indianbank.co.in,Meerut,AGRA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Belanganj(eAB),,Agra Main,,Agra Main,A524,,,IDIB000A524,26.07.2021,"CHILIINT ROAD AGRA, UTTAR PRADESH-282003",5622620132,a524@indianbank.co.in,Meerut,AGRA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Gail (eAB),,Auriya,,Auriya,A677,,,IDIB000A677,26.07.2021,MAHAVIRGANJ AURAIYA DIST AURAIYA -206 122,9936850772,Auraiya@indianbank.co.in,Meerut,AGRA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
